H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
-29.279999999999973,1.1789200000023384e-06,29.119999999999937,-1.4392000000008897e-06
-29.75999999999999,-1.6139999999779248e-07,29.279999999999927,-1.3592000000089978e-07
-29.920000000000005,-1.5141999999978422e-06,29.279999999999927,1.173999999999273e-06
-30.08000000000002,-2.8786799999978853e-06,29.599999999999955,2.489919999999236e-06
-30.079999999999995,-4.254119999997849e-06,29.91999999999996,3.8111999999992928e-06
-30.400000000000023,-5.639879999997862e-06,30.079999999999973,5.1372799999992514e-06
-30.4,-7.035399999997908e-06,30.239999999999988,6.4675999999994415e-06
-30.720000000000006,-8.440199999997997e-06,30.879999999999995,7.801519999999473e-06
-31.04000000000001,-9.85371999999811e-06,31.039999999999985,9.138479999999498e-06
-31.360000000000014,-1.1275399999998229e-05,31.2,1.047799999999953e-05
-31.520000000000003,-1.2704679999998337e-05,31.520000000000003,1.1819599999999576e-05
-31.680000000000017,-1.4140999999998418e-05,31.680000000000017,1.3162799999999475e-05
-31.520000000000028,-1.5583719999998427e-05,31.680000000000017,1.4507119999999409e-05
-31.84000000000001,-1.7032359999998547e-05,31.84000000000001,1.585223999999944e-05
-32.0,-1.8486599999998665e-05,32.0,1.719799999999952e-05
-32.0,-1.9946039999998826e-05,32.15999999999999,1.854415999999956e-05
-32.15999999999999,-2.1410359999998914e-05,32.31999999999998,1.989039999999963e-05
-32.479999999999976,-2.2879319999999198e-05,32.639999999999986,2.1236639999999697e-05
-32.31999999999998,-2.4352519999999365e-05,32.8,2.2582719999999883e-05
-32.48,-2.5829559999999625e-05,32.96,2.3928399999999932e-05
-32.8,-2.7310279999999756e-05,33.12000000000002,2.5273600000000167e-05
-32.8,-2.879444000000002e-05,33.280000000000015,2.6618240000000384e-05
-32.960000000000015,-3.028172000000013e-05,33.280000000000015,2.79620800000005e-05
-33.280000000000015,-3.177188000000018e-05,33.12000000000002,2.9304960000000463e-05
-33.12000000000002,-3.326468000000027e-05,33.12000000000002,3.064672000000056e-05
-33.12000000000002,-3.475980000000045e-05,33.28000000000001,3.198712000000055e-05
-33.44000000000001,-3.625692000000062e-05,33.60000000000001,3.332608000000056e-05
-33.44000000000001,-3.77558800000009e-05,33.44,3.466360000000061e-05
-33.28000000000001,-3.925660000000126e-05,33.44,3.5999680000000676e-05
-33.440000000000005,-4.0758920000001465e-05,33.76,3.733432000000078e-05
-33.44,-4.226268000000165e-05,33.760000000000005,3.866752000000091e-05
